Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
May 23 2023 - May 23 2023,01H11FDR6SBMG5WYXBGZC8ASZK,20230523_EDM_MAA SPORTS_PSA DF_Fitness Week! Enjoy 100K MAPClub Points_EB,2023-05-23,06:00 PM,14432,0.21833333333333332,0.007569444444444445,0.00034722222222222224,0.0001388888888888889,3872,3144,160,109,5,32,0.0022172949002217295,EB,Boost Your Fitness to Get Stronger!,Earn Rp 100.000 MAPCLUB Points for Your Rewards,20230523_EDM_MAA SPORTS_PSA DF_Fitness Week! Enjoy 100K MAPClub Points_EB List,,Tuesday,Email
May 23 2023 - May 23 2023,01H13TDE3G9Y6NVDVQZQPYSHQG,20230523_EDM_MAA SPORTS_PSA DF_Fitness Week! Enjoy 100K MAPClub Points_NB,2023-05-23,06:00 PM,113197,0.5403716814159292,0.002964601769911504,0.000920353982300885,4.424778761061947e-05,71986,61062,510,335,108,197,0.001740328807300547,NB,Boost Your Fitness to Get Stronger!,Earn Rp 100.000 MAPCLUB Points for Your Rewards,20230523_EDM_MAA SPORTS_PSA DF_Fitness Week! Enjoy 100K MAPClub Points_NB List,20230523_EDM_MAA SPORTS_PSA DF_Fitness Week! Enjoy 100K MAPClub Points_EB List,Tuesday,Email
