Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
May 19 2023 - May 19 2023,01H0HQK3X1JCX4ZANEVPX3K9SN,20230519_EDM_MAA SPORTS_SKE DF_Awareness: W Street UNO pastel_EB,2023-05-19,06:00 PM,5579,0.21591521465780492,0.010059277887551643,0.0037722292078318665,0.0,1464,1202,69,56,22,12,0.0021509231044990144,EB,"Fresh Colors, Fresh Style: Skechers Street Uno Pastels 🌟🌈",Discover the latest must-have comfort sneakers 👟,20230519_EDM_MAA SPORTS_SKE DF_Awareness: W Street UNO pastel_EB List,,Friday,Email
May 19 2023 - May 19 2023,01H0SFR4V19AC99BJ2Z5AJ9T7M,20230519_EDM_MAA SPORTS_SKE DF_Awareness: W Street UNO pastel_NB,2023-05-19,06:00 PM,93545,0.6131654190895364,0.003951553313843287,0.0010494640237307376,3.2126449706042984e-05,67415,57258,519,369,99,164,0.0017531669250093538,NB,"Fresh Colors, Fresh Style: Skechers Street Uno Pastels 🌟🌈",Discover the latest must-have comfort sneakers 👟,20230519_EDM_MAA SPORTS_SKE DF_Awareness: W Street UNO pastel_NB List,20230519_EDM_MAA SPORTS_SKE DF_Awareness: W Street UNO pastel_EB List,Friday,Email
