Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
May 17 2023 - May 18 2023,01H0FJR84TDRZG9AE2W0B1733K,20230518_EDM_MAA SPORTS_SKE DF_Promo: Long Weekend Buy 2 Get 15% Off_EB,2023-05-18,06:00 PM,5584,0.25394831299353915,0.010588657573582197,0.0026920315865039484,0.0,1655,1415,71,59,15,12,0.002148997134670487,EB,Weekend Special: 15% Off for Cozy Comfort! 🎉, Cozy up this weekend with Skechers ☁️, 20230518_EDM_MAA SPORTS_SKE DF_Promo: Long Weekend Buy 2 Get 15% Off_EB List,,Thursday,Email
May 17 2023 - May 18 2023,01H0MEHH2CYQBC2423ZBQJZKEM,20230518_EDM_MAA SPORTS_SKE DF_Promo: Long Weekend Buy 2 Get 15% Off_NB,2023-05-18,06:00 PM,95002,0.6476893507371266,0.0037701178557850716,0.000654754361508892,5.280277108942677e-05,71634,61331,555,357,62,310,0.003263089198122145,NB,Weekend Special: 15% Off for Cozy Comfort! 🎉, Cozy up this weekend with Skechers ☁️, 20230518_EDM_MAA SPORTS_SKE DF_Promo: Long Weekend Buy 2 Get 15% Off_NB List, 20230518_EDM_MAA SPORTS_SKE DF_Promo: Long Weekend Buy 2 Get 15% Off_EB List,Thursday,Email
May 17 2023 - May 18 2023,01H0KV4J9B76KN734EV08T3WEV,20230517_EDM_MAA SPORTS_SKE DF_Birthday Treats Rp200k Voucher_EB,2023-05-17,02:00 PM,310,0.4045307443365696,0.04854368932038835,0.0,0.0,176,125,24,15,0,1,0.0032258064516129032,EB,It's your Birthday! 🎉,Get a free birthday voucher to continue your comfort journey! 🎁,20230517_EDM_MAA SPORTS_SKE DF_Birthday Treats Rp200k Voucher_EB List,,Wednesday,Email
