Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
May 27 2023 - May 28 2023,01H13DX7R2MSNTFVM1RFZ18C9C,20230527_EDM_MAA FFW_LINEA DF_Staccato Bag Highlight_EB,2023-05-27,11:00 AM,660,0.2959028831562974,0.007587253414264037,0.0030349013657056147,0.0,227,195,6,5,2,1,0.0015151515151515152,EB,Find The Perfect Bag for Your Stylish Fit,"Pick Yours Now! Get offers, Rebate up to Rp500.000. T&C Apply.",20230527_EDM_MAA FFW_LINEA DF_Staccato Bag Highlight_EB List - Rev1,,Saturday,Email
May 27 2023 - May 28 2023,01H1BEWZCCW8J9ACP41H9ARGA3,20230527_EDM_MAA FFW_LINEA DF_Staccato Bag Highlight_NB,2023-05-27,11:00 AM,162628,0.4568413651893972,0.001733006056270275,0.001788511588321636,5.550553205136112e-05,87718,74075,418,281,311,482,0.002963819268514647,NB,Find The Perfect Bag for Your Stylish Fit,"Pick Yours Now! Get offers, Rebate up to Rp500.000. T&C Apply.",20230527_EDM_MAA FFW_LINEA DF_Staccato Bag Highlight_NB List - Rev1,20230527_EDM_MAA FFW_LINEA DF_Staccato Bag Highlight_EB List - Rev1,Saturday,Email
