Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Open Rate,Click Rate,Unsubscribe Rate,Spam Complaints Rate,Total Opens,Unique Opens,Total Clicks,Unique Clicks,Total Unsubscribes,Bounces,Bounce Rate,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
May 27 2023 - May 28 2023,01H18KR5NGPSYDYANKPZPRNB24,20230527_EDM_MAA KIDS_KSA DF_Bandai Ultraman Blazer_EB,2023-05-27,10:00 AM,8829,0.17142857142857143,0.0027210884353741495,0.0010204081632653062,0.0,1803,1512,38,24,9,9,0.0010193679918450561,EB,Diskon hingga 40% untuk koleksi dari Bandai! 🤖,Dapatkan MAPCLUB Point di setiap transaksimu😍,20230527_EDM_MAA KIDS_KSA DF_Bandai Ultraman Blazer_EB List,,Saturday,Email
May 27 2023 - May 28 2023,01H1B4Q453XXEEBEKTNWC272TR,20230527_EDM_MAA KIDS_KSA DF_Bandai Ultraman Blazer_NB,2023-05-27,10:00 AM,64313,0.7777639480972088,0.001057970563524909,0.0008557114852039705,4.667517192021657e-05,58970,49990,128,68,56,39,0.0006064092796168737,NB,Diskon hingga 40% untuk koleksi dari Bandai! 🤖,Dapatkan MAPCLUB Point di setiap transaksimu😍,20230527_EDM_MAA KIDS_KSA DF_Bandai Ultraman Blazer_NB List,20230527_EDM_MAA KIDS_KSA DF_Bandai Ultraman Blazer_EB List,Saturday,Email
